"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Vystrčenovice","599,05","915,81","146,46","0,00","354,72","166,35","23,61",NA,"102,00","16,00","16,00","33,00","28,00","5,00","4,00","25,00","7,00","170,07","1 252,23","4,00","298,46","1 082,16","953,77","3,00","1,00","0,00","Vysočina","TELČ","Jihlava"
"Vystrkov","3 201,43","1 726,77","0,00","0,00","178,86","218,00","142,43","4,00","234,00","29,00","36,00","77,00","78,00","7,00","7,00","65,00","6,00","142,43","2 087,20","16,00","-1 293,09","1 944,77","3 380,29","0,00","1,00","4,00","Vysočina","HUMPOLEC","Pelhřimov"
"Výžerky","1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Středočeský kraj","ŘÍČANY","Kolín"
"Vyžice","1 032,25","1 468,23","186,00","0,00","278,31","579,31","27,20","1,00","171,00","45,00","29,00","41,00","43,00","7,00","6,00","30,00","5,00","213,20","2 260,74","2,00","950,18","2 047,54","1 310,56","2,00","4,00","3,00","Pardubický kraj","CHRUDIM","Chrudim"
"Vyžlovka","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Středočeský kraj","ŘÍČANY","Kolín"
"Xaverov","710,13","523,41","0,00","0,00","0,00","152,55","151,78",NA,"56,00","9,00","15,00","17,00","11,00","1,00","3,00","17,00","1,00","151,78","827,74","0,00","117,61","675,96","710,13","2,00","0,00","0,00","Středočeský kraj","BENEŠOV","Benešov"
"Žabčice","18 432,19","78 900,88","50,00","205,82","50 899,37","5 388,88","762,56","1,00","1 601,00","222,00","243,00","525,00","493,00","62,00","56,00","257,00","26,00","812,56","85 308,14","49,00","15 976,58","84 495,58","69 331,56","27,00","18,00","19,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov"
"Žabeň","5 590,02","6 208,61","0,00","100,00","1 942,33","1 316,98","109,55",NA,"653,00","114,00","94,00","206,00","207,00","16,00","16,00","115,00","17,00","109,55","7 735,14","35,00","202,79","7 625,59","7 532,35","14,00","9,00","5,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Zábeštní Lhota","1 031,22","1 218,20","0,00","0,00","118,35","40,31","94,70","1,00","168,00","26,00","29,00","49,00","51,00","8,00","5,00","25,00","3,00","94,70","1 353,21","8,00","203,64","1 258,51","1 149,57","0,00","1,00","3,00","Olomoucký kraj","PŘEROV","Přerov"
"Záblatí","6 740,99","4 267,42","1 498,61","44,18","2 747,97","1 523,40","2 473,39","2,00","364,00","45,00","54,00","127,00","112,00","11,00","15,00","82,00","13,00","3 972,00","9 807,00","11,00","318,04","5 835,00","9 488,96","8,00","2,00","4,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Záblatí","1 340,61","1 242,02","0,00","0,00","0,00","447,74","193,82",NA,"82,00","16,00","9,00","25,00","28,00","3,00","1,00","20,00","0,00","193,82","1 883,58","1,00","542,97","1 689,76","1 340,61","1,00","1,00","2,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec"
"Záblatí","2 126,15","1 709,51","1 373,82","6,30","1 747,09","551,43","572,61","1,00","168,00","31,00","28,00","54,00","47,00","4,00","4,00","29,00","3,00","1 946,43","4 213,67","4,00","340,43","2 267,24","3 873,24","4,00","1,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Žabonosy","1 686,55","2 241,95","75,00","0,00","285,58","223,01","26,12",NA,"223,00","45,00","37,00","57,00","65,00","10,00","9,00","45,00","6,00","101,12","2 566,08","10,00","593,95","2 464,96","1 972,13","5,00","2,00","3,00","Středočeský kraj","KOLÍN","Kolín"
"Záboří","2 840,93","3 468,94","0,00","443,90","0,00","950,22","390,61","1,00","313,00","43,00","42,00","107,00","102,00","5,00","14,00","75,00","6,00","390,61","5 253,67","16,00","2 412,74","4 863,06","2 840,93","15,00","3,00","1,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Záboří","4 482,89","2 727,45","0,00","11,55","141,20","471,93","1 244,14",NA,"309,00","27,00","48,00","108,00","103,00","7,00","16,00","79,00","8,00","1 244,14","4 455,07","9,00","-169,02","3 210,93","4 624,09","18,00","4,00","5,00","Jihočeský kraj","BLATNÁ","Strakonice"
"Záboří nad Labem","5 323,39","6 580,62","67,00","66,60","924,91","478,06","749,84","4,00","817,00","134,00","120,00","265,00","238,00","32,00","28,00","167,00","37,00","816,84","7 942,12","35,00","1 693,82","7 125,28","6 248,30","17,00","10,00","6,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora"
"Záborná","916,31","2 198,25","228,50","34,00","845,46","258,41","31,43",NA,"212,00","30,00","36,00","73,00","57,00","7,00","9,00","40,00","7,00","259,93","2 750,59","5,00","988,82","2 490,66","1 761,77","6,00","1,00","2,00","Vysočina","JIHLAVA","Jihlava"
"Žabovřesky","3 233,26","3 855,06","2 000,00","163,31","4 116,56","646,11","299,79","2,00","421,00","44,00","82,00","145,00","127,00","11,00","12,00","86,00","2,00","2 299,79","6 964,27","5,00","-385,55","4 664,48","7 349,82","5,00","4,00","7,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Žabovřesky nad Ohří","1 878,13","2 003,30","0,00","0,00","39,98","99,22","113,60",NA,"229,00","26,00","31,00","77,00","82,00","4,00","9,00","54,00","15,00","113,60","2 216,12","13,00","298,01","2 102,52","1 918,11","1,00","1,00","2,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Zábrdí","556,22","576,47","0,00","20,48","0,00","179,15","27,20",NA,"46,00","13,00","7,00","12,00","12,00","1,00","1,00","10,00","2,00","27,20","803,30","3,00","247,08","776,10","556,22","0,00","2,00","0,00","Jihočeský kraj","PRACHATICE","Prachatice"
"Zábřeh","290 904,62","185 642,29","21 771,36","4 217,14","31 356,34","13 349,18","140 473,02","3,00","14 099,00","2 121,00","1 969,00","4 526,00","4 581,00","485,00","417,00","2 952,00","558,00","162 244,38","365 452,99","249,00","43 192,03","203 208,61","322 260,96","367,00","132,00","164,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Zábřezí-Řečice","939,54","1 185,53","0,00","0,00","268,91","121,36","118,91","1,00","152,00","18,00","23,00","44,00","51,00","8,00","8,00","40,00","4,00","118,91","1 425,80","8,00","217,35","1 306,89","1 208,45","0,00","1,00","1,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Zábrodí","2 216,24","3 768,09","250,00","4,80","2 121,94","127,32","29,60","6,00","437,00","75,00","65,00","148,00","130,00","12,00","7,00","132,00","9,00","279,60","4 179,81","24,00","-158,37","3 900,21","4 338,18","7,00","6,00","8,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Zabrušany","9 311,06","9 406,25","29 304,00","405,11","38 881,08","1 792,87","602,42",NA,"1 119,00","135,00","166,00","385,00","351,00","43,00","39,00","180,00","50,00","29 906,42","41 510,65","30,00","-6 681,49","11 604,23","48 192,14","27,00","10,00","7,00","Ústecký kraj","TEPLICE","Teplice"
"Záchlumí","3 892,76","3 369,29","405,00","1 256,97","1 287,31","404,03","633,34",NA,"439,00","44,00","85,00","143,00","151,00","5,00","11,00","82,00","24,00","1 038,34","6 068,63","21,00","888,56","5 030,29","5 180,07","14,00","2,00","8,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Záchlumí","6 554,08","6 896,54","0,00","0,00","1 314,92","1 681,47","212,66","1,00","824,00","101,00","100,00","319,00","259,00","17,00","28,00","144,00","23,00","212,66","8 790,67","32,00","921,67","8 578,01","7 869,00","22,00","4,00","9,00","Pardubický kraj","ŽAMBERK","Ústí nad Orlicí"
"Zachotín","2 255,87","2 297,41","0,00","2,05","247,54","397,70","253,03",NA,"242,00","37,00","30,00","86,00","76,00","5,00","8,00","54,00","11,00","253,03","2 950,19","12,00","446,78","2 697,16","2 503,41","7,00","0,00","3,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Zachrašťany","615,62","1 884,60","0,00","0,00","17,21","118,31","37,20","1,00","182,00","39,00","25,00","54,00","50,00","8,00","6,00","53,00","6,00","37,20","2 040,11","5,00","1 407,28","2 002,91","632,83","1,00","3,00","3,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Žacléř","49 913,75","31 197,42","5 764,19","5 006,94","10 630,95","10 427,05","10 533,93","9,00","3 601,00","596,00","529,00","1 137,00","1 080,00","156,00","103,00","647,00","153,00","16 298,12","62 929,54","73,00","2 384,84","46 631,41","60 544,70","87,00","31,00","34,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Zadní Chodov","2 473,30","3 132,81","0,00","115,85","669,50","1 360,63","1 060,02",NA,"292,00","30,00","42,00","109,00","89,00","10,00","12,00","91,00","17,00","1 060,02","5 669,31","18,00","2 526,51","4 609,29","3 142,80","9,00","2,00","4,00","Plzeňský kraj","TACHOV","Tachov"
"Zadní Střítež","417,84","543,97","0,00","0,00","0,00","59,23","27,20",NA,"32,00","8,00","0,00","9,00","10,00","4,00","1,00","8,00","3,00","27,20","630,40","5,00","212,56","603,20","417,84","0,00","1,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Zadní Třebaň","5 239,91","6 207,07","105,00","131,29","251,91","371,19","325,67","3,00","681,00","101,00","105,00","220,00","208,00","26,00","21,00","191,00","7,00","430,67","7 140,22","26,00","1 648,40","6 709,55","5 491,82","10,00","7,00","5,00","Středočeský kraj","BEROUN","Beroun"
"Zadní Vydří","521,30","633,40","0,00","0,00","136,92","56,95","131,49",NA,"55,00","15,00","10,00","13,00","14,00","3,00","0,00","10,00","1,00","131,49","821,84","0,00","163,62","690,35","658,22","0,00","1,00","1,00","Vysočina","TELČ","Jihlava"
"Zadní Zhořec","684,32","1 165,68","116,00","0,00","306,22","124,92","27,92",NA,"142,00","14,00","26,00","44,00","42,00","7,00","9,00","24,00","5,00","143,92","1 434,52","2,00","443,98","1 290,60","990,54","2,00","1,00","0,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Zádolí","542,81","917,46","0,00","5,00","129,57","36,65","27,20",NA,"89,00","17,00","11,00","29,00","27,00","3,00","2,00","13,00","1,00","27,20","986,31","0,00","313,93","959,11","672,38","0,00","1,00","0,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Žádovice","5 600,11","6 181,82","0,00","1 413,33","2 671,41","688,75","510,55","2,00","764,00","108,00","99,00","271,00","235,00","21,00","30,00","132,00","54,00","510,55","8 794,45","20,00","522,93","8 283,90","8 271,52","22,00","5,00","7,00","Jihomoravský kraj","KYJOV","Hodonín"
"Zádub-Závišín","2 332,68","2 798,11","16,18","1 742,70","862,83","405,83","499,20",NA,"296,00","42,00","31,00","104,00","94,00","7,00","18,00","110,00","5,00","515,38","5 462,02","14,00","2 266,51","4 946,64","3 195,51","10,00","4,00","3,00","Karlovarský kraj","MARIÁNSKÉ LÁZNĚ","Cheb"
"Zádveřice-Raková","9 625,12","11 478,28","0,00","0,00","4 136,71","1 287,62","282,68","8,00","1 347,00","186,00","175,00","467,00","446,00","42,00","31,00","352,00","35,00","282,68","13 048,58","34,00","-713,25","12 765,90","13 761,83","35,00","14,00","13,00","Zlínský kraj","VIZOVICE","Zlín"
"Zahájí","4 063,81","10 102,73","50,00","0,00","200,00","1 084,71","200,80","6,00","438,00","47,00","78,00","136,00","147,00","12,00","18,00","71,00","8,00","250,80","11 438,24","47,00","7 174,43","11 187,44","4 263,81","6,00","5,00","6,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Zahnašovice","2 832,41","3 254,00","0,00","0,00","430,74","102,58","269,82","1,00","334,00","62,00","45,00","116,00","90,00","12,00","9,00","50,00","17,00","269,82","3 626,40","13,00","363,25","3 356,58","3 263,15","4,00","9,00","3,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Zahořany","1 098,17","1 754,84","0,00","10,00","7 081,59","556,52","118,82","4,00","240,00","27,00","36,00","78,00","82,00","10,00","7,00","58,00","3,00","118,82","2 440,18","26,00","-5 739,60","2 321,36","8 179,78","5,00","2,00","3,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Zahořany","7 069,34","8 204,13","120,00","3 072,60","973,88","1 300,15","159,48","1,00","895,00","140,00","113,00","315,00","284,00","25,00","18,00","212,00","18,00","279,48","12 856,36","9,00","4 813,14","12 576,88","8 043,22","21,00","11,00","8,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Zahorčice","1 546,49","636,04","177,28","0,00","325,18","43,88","460,49",NA,"63,00","15,00","8,00","23,00","14,00","1,00","2,00","23,00","1,00","637,77","1 317,69","0,00","-553,98","679,92","1 871,67","1,00","2,00","1,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Záhoří","5 416,58","4 546,89","304,00","0,00","650,52","868,97","619,00","1,00","503,00","77,00","89,00","151,00","149,00","17,00","20,00","128,00","20,00","923,00","6 338,86","18,00","271,76","5 415,86","6 067,10","12,00","9,00","4,00","Liberecký kraj","SEMILY","Semily"
"Záhoří","8 654,37","6 929,26","100,00","204,70","1 356,38","3 890,19","1 261,02","2,00","771,00","126,00","104,00","249,00","235,00","26,00","31,00","165,00","21,00","1 361,02","12 385,17","27,00","2 374,42","11 024,15","10 010,75","16,00","6,00","9,00","Jihočeský kraj","PÍSEK","Písek"
"Záhoří","1 097,94","798,20","0,00","35,00","0,00","582,26","264,42",NA,"59,00","16,00","4,00","18,00","15,00","1,00","5,00","15,00","3,00","264,42","1 679,88","0,00","581,94","1 415,46","1 097,94","0,00","0,00","0,00","Jihočeský kraj","TÁBOR","Tábor"
"Záhoří","926,44","1 190,06","88,00","8,16","640,14","129,48","69,23",NA,"121,00","22,00","18,00","39,00","40,00","1,00","1,00","24,00","0,00","157,23","1 484,93","4,00","-81,65","1 327,70","1 566,58","4,00","1,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Záhornice","3 764,37","4 256,41","134,00","5,08","875,97","1 089,40","469,82","2,00","328,00","44,00","44,00","116,00","103,00","12,00","9,00","68,00","17,00","603,82","5 954,71","14,00","1 314,37","5 350,89","4 640,34","11,00","0,00","6,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Záhorovice","7 209,67","9 413,85","43,00","52,00","2 786,92","741,47","750,06",NA,"1 063,00","158,00","166,00","359,00","335,00","22,00","23,00","214,00","36,00","793,06","11 000,38","27,00","1 003,79","10 207,32","9 996,59","25,00","10,00","13,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Zahrádka","3 014,67","1 838,68","0,00","680,00","65,69","721,69","97,98",NA,"134,00","18,00","16,00","50,00","41,00","4,00","5,00","28,00","6,00","97,98","3 338,35","7,00","257,99","3 240,37","3 080,36","2,00","5,00","0,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Zahrádka","1 079,04","1 273,29","116,00","0,00","482,27","305,61","18,79",NA,"131,00","16,00","18,00","43,00","43,00","4,00","7,00","33,00","8,00","134,79","1 713,69","5,00","152,38","1 578,90","1 561,31","2,00","2,00","0,00","Vysočina","NÁMĚŠŤ NAD OSLAVOU","Třebíč"
"Zahrádky","7 587,47","7 628,25","723,85","239,33","3 437,86","1 235,76","423,00","2,00","660,00","70,00","113,00","220,00","213,00","20,00","24,00","132,00","28,00","1 146,85","10 250,19","31,00","-775,14","9 103,34","11 025,33","15,00","7,00","6,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Zahrádky","3 112,90","2 310,37","41,65","124,05","1 604,55","1 502,89","265,60","2,00","234,00","40,00","28,00","67,00","73,00","13,00","13,00","49,00","3,00","307,25","4 244,56","2,00","-472,89","3 937,31","4 717,45","6,00","2,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Zaječí","7 521,58","13 697,28","8 000,00","667,66","14 846,92","1 780,16","747,12","2,00","1 421,00","144,00","222,00","490,00","465,00","53,00","47,00","288,00","61,00","8 747,12","24 892,22","37,00","2 523,72","16 145,10","22 368,50","27,00","14,00","12,00","Jihomoravský kraj","BŘECLAV","Břeclav"
"Zaječice","7 610,76","8 462,49","248,00","36,65","1 301,60","1 932,79","207,71","1,00","1 021,00","168,00","164,00","331,00","295,00","32,00","31,00","202,00","50,00","455,71","10 887,64","57,00","1 975,28","10 431,93","8 912,36","12,00","13,00","16,00","Pardubický kraj","CHRUDIM","Chrudim"
"Zaječov","9 078,57","10 820,93","6 498,00","75,80","10 671,60","793,74","464,27","3,00","1 383,00","222,00","175,00","445,00","433,00","53,00","55,00","270,00","22,00","6 962,27","18 652,74","34,00","-1 097,43","11 690,47","19 750,17","13,00","15,00","11,00","Středočeský kraj","HOŘOVICE","Beroun"
"Zájezd","1 245,23","921,15","0,00","3,44","0,00","127,90","154,10","1,00","113,00","15,00","13,00","46,00","37,00","2,00","0,00","34,00","2,00","154,10","1 206,59","6,00","-38,64","1 052,49","1 245,23","2,00","2,00","4,00","Středočeský kraj","KLADNO","Kladno"
"Zájezdec","748,76","1 090,77","0,00","490,00","0,00","109,44","127,20",NA,"125,00","15,00","24,00","42,00","33,00","5,00","6,00","19,00","5,00","127,20","1 817,41","7,00","1 068,65","1 690,21","748,76","1,00","1,00","1,00","Pardubický kraj","CHRUDIM","Chrudim"
"Zajíčkov","1 716,76","1 693,96","0,00","0,00","1 862,71","311,83","139,95","1,00","220,00","38,00","33,00","71,00","63,00","9,00","6,00","48,00","6,00","139,95","2 145,74","8,00","-1 433,73","2 005,79","3 579,47","1,00","1,00","1,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Žákava","8 022,39","3 282,43","2 586,99","636,86","4 318,44","9 334,68","195,89",NA,"381,00","57,00","57,00","137,00","116,00","6,00","8,00","83,00","11,00","2 782,88","16 036,85","10,00","3 696,02","13 253,97","12 340,83","5,00","8,00","5,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Zákolany","3 974,60","4 350,03","2 421,01","146,39","7 558,64","499,33","544,71","3,00","540,00","84,00","85,00","188,00","158,00","17,00","8,00","110,00","15,00","2 965,72","7 961,47","26,00","-3 571,77","4 995,75","11 533,24","25,00","5,00","10,00","Středočeský kraj","KLADNO","Kladno"
"Žákovice","1 948,30","2 151,29","0,00","0,00","55,51","105,84","42,34","1,00","210,00","20,00","28,00","72,00","80,00","3,00","7,00","33,00","15,00","42,34","2 299,47","3,00","295,66","2 257,13","2 003,81","4,00","2,00","1,00","Olomoucký kraj","PŘEROV","Přerov"
"Zakřany","6 657,82","5 700,26","0,00","10,45","33,96","592,90","929,50",NA,"729,00","107,00","108,00","231,00","234,00","26,00","23,00","132,00","25,00","929,50","7 233,11","15,00","541,33","6 303,61","6 691,78","21,00","11,00","5,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Zákupy","31 573,85","29 372,48","547,00","900,91","1 827,24","3 691,89","1 951,19","2,00","2 837,00","382,00","533,00","906,00","861,00","80,00","75,00","506,00","130,00","2 498,19","36 463,47","100,00","3 062,38","33 965,28","33 401,09","72,00","34,00","37,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Žáky","2 578,04","3 049,81","2 250,00","132,01","5 766,47","1 026,74","158,78",NA,"340,00","50,00","45,00","121,00","102,00","8,00","14,00","54,00","21,00","2 408,78","6 617,34","18,00","-1 727,17","4 208,56","8 344,51","4,00","8,00","6,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Žalany","6 919,65","4 653,59","0,00","21,72","239,00","761,05","2 020,06",NA,"510,00","61,00","89,00","162,00","161,00","23,00","14,00","155,00","26,00","2 020,06","7 456,42","16,00","297,77","5 436,36","7 158,65","8,00","7,00","13,00","Ústecký kraj","TEPLICE","Teplice"
"Zalešany","1 290,55","1 529,70","0,00","199,00","0,00","50,86","239,23",NA,"109,00","31,00","8,00","34,00","27,00","2,00","7,00","14,00","4,00","239,23","2 018,79","3,00","728,24","1 779,56","1 290,55","4,00","4,00","2,00","Středočeský kraj","KOLÍN","Kolín"
"Zálesí","1 472,79","1 775,29","0,00","0,06","81,90","148,32","318,74",NA,"175,00","39,00","13,00","61,00","51,00","8,00","3,00","42,00","21,00","318,74","2 242,41","1,00","687,72","1 923,67","1 554,69","3,00","4,00","0,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Zálesná Zhoř","738,17","1 044,16","0,00","0,00","80,00","31,50","296,18",NA,"67,00","10,00","8,00","22,00","20,00","4,00","3,00","19,00","6,00","296,18","1 371,84","5,00","553,67","1 075,66","818,17","3,00","0,00","3,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Zálezlice","3 910,10","3 375,66","66,60","10,64","741,13","1 419,11","92,86","1,00","375,00","51,00","63,00","128,00","105,00","15,00","13,00","56,00","17,00","159,46","4 964,87","14,00","313,64","4 805,41","4 651,23","10,00","5,00","5,00","Středočeský kraj","NERATOVICE","Mělník"
